entity,field,ground_truth,extracted,count
assets,is_joint,False,True,6
assets,owner,client_1,joint,4
assets,subtype,bank_account,401k_ira,4
assets,asset_type,cash,retirement,4
assets,subtype,bank_account,taxable_brokerage,3
assets,asset_type,cash,brokerage,3
assets,subtype,taxable_brokerage,bank_account,2
assets,asset_type,brokerage,alternatives,2
assets,owner,joint,client_1,2
assets,owner,client_2,joint,2
assets,subtype,taxable_brokerage,private_markets,2
assets,asset_type,brokerage,cash,2
assets,subtype,private_markets,bank_account,1
households,annual_household_gross_income,116750,233500,1
income_lines,amount_annualized,145100,92100,1
people,occupation_group,education,business_owner,1
assets,subtype,taxable_brokerage,401k_ira,1
assets,asset_type,alternatives,cash,1
assets,provider_type,brokerage,bank,1
assets,subtype,401k_ira,bank_account,1
assets,provider_type,insurance_company,bank,1
assets,owner,client_1,client_2,1
assets,is_joint,True,False,1
assets,asset_type,retirement,cash,1
assets,asset_type,brokerage,retirement,1
people,occupation_group,exec,operations,1
